idno	author-name	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount	UB_new
AlexanderD_Tour	Alexander, David	yes	1	M	USA		La tour, prends garde...	1954	1992		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2256-X	Catelot, G.-A.		1953		52169	fra	short	T0	unspecified	
Allingham_Maison	Allingham, Margery	yes	1	F	GBR		La maison des morts étranges		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2940-8	Samuel, P.				54085	fra	medium	T0	unspecified	
Amelin_Jardins	Amelin, Michel	no	1	M	FRA		Les jardins du casino		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1879-1					40977	fra	short	T0	unspecified	
Amos_Casa	Amos, Alan	yes	1	M	USA		La casa paraiso		1953		1950s	Le Masque		Romans d'aventures	policier	populaire						43487	fra	short	T0	unspecified	
Amos_Sucre	Amos, Alan	yes	1	M	USA		Sucre de canne		1958		1950s	Le Masque		Romans d'aventures	policier	populaire						57353	fra	medium	T0	unspecified	
Andreota_Pieuvre	Andreota, Paul	no	1	M	FRA		La pieuvre		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1892-9					64414	fra	medium	T0	unspecified	
Andreota_Zigzags	Andreota, Paul	no	1	M	FRA		Zigzags		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1964-X					45152	fra	short	T0	unspecified	
Bachellerie_Ile	Bachellerie, Louise	no	1	F	FRA		L'île aux muettes		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1613-6					45681	fra	short	T0	unspecified	
Bachellerie_Rue	Bachellerie, Louise	no	1	F	FRA		La rue des bons apôtres		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1661-6					40767	fra	short	T0	unspecified	
Barnard_Attachement	Barnard, Robert	yes	1	M	GBR		Attachement fatal		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2435-X	Hamel, Annie				58249	fra	medium	T0	unspecified	
Barr_Empreinte	Barr, Nevada	yes	1	F	USA		L'empreinte du fauve		1996		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2685-9					83088	fra	medium	T0	unspecified	
Barr_Feu	Barr, Nevada	yes	1	F	USA		Le feu du ciel		1997		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2755-3					91891	fra	medium	T0	unspecified	
Barrington_Femme	Barrington, Paméla	yes	1	F	GBR		Une femme très douce		1969		1960s	Le Masque		Romans d'aventures	policier	populaire		Navarro, Marie-Louise				49015	fra	short	T0	unspecified	
Beeding_Numero	Beeding, Francis	yes	1	F	GBR		Le numéro gagnant		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1519-9	Vabre, Marguerite				46804	fra	short	T0	unspecified	
Benzimra_Revoir	Benzimra, André	no	1	M	FRA		Pour te revoir, Jonathan		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1454-0					54293	fra	short	T0	unspecified	
BenzimraABenzimraJ_Finir	Benzimra, André / Benzimra, Jacqueline	no	2	mixed	FRA		Et finir en beauté		1964	1964	1960s	Le Masque		Romans d'aventures	policier	populaire	(unknown)										
Berkeley_Erreur	Berkeley, Anthony	yes	1	M	GBR		Une erreur judiciaire		1987		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1761-2					60196	fra	medium	T0	unspecified	
Bird_Sandra	Bird	yes	1	M	GBR		Sandra	1971	1971		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						43814	fra	short	T0	unspecified	
Blackmon_Assassine	Blackmon, Anita	yes	1	F	USA		On assassine au Richelieu		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1795-7	Ferraris, Gabrielle		1937		61894	fra	medium	T0	unspecified	
BoileauNarcejac_Ombre	Boileau, Pierre / Narcejac, Thomas	no	1	M	FRA		L'ombre et la proie	1951	1984		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1496-6					45146	fra	short	T0	unspecified	
Bouhier_Portrait	Bouhier, Florence	no	1	F	FRA		Portrait de l'artiste en assassin		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2934-3					51477	fra	short	T0	unspecified	
Branch_Lion	Branch, Pamela	yes	1	F	GBR		Un lion dans la cave		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2337-X	Le Gall, M.A.		1951		63487	fra	medium	T0	unspecified	
Bruce_Trois	Bruce, Leo	yes	1	M	GBR		Trois détectives		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1658-6					54935	fra	medium	T0	unspecified	
Carmichael_Bar	Carmichael, Harry	yes	1	M	GBR		Au bar des trois plumes	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						39493	fra	short	T0	unspecified	
Carmichael_Belle	Carmichael, Harry	yes	1	M	GBR		La belle au bois mourant	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						39493	fra	short	T0	unspecified	
Carr_Maison	Carr, John Dickson	yes	1	M	USA		La maison de la terreur		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1793-0	Delval, Léo		1946		76018	fra	medium	T0	unspecified	
Carr_Manoir	Carr, John Dickson	yes	1	M	USA		Le manoir de la mort		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2167-9	Monrocq, Dominique				91705	fra	medium	T0	unspecified	
Carr_Marie	Carr, John Dickson	yes	1	M	USA		Le marié perd la tête		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1655-1	Rey, Jean-André et Claudine		1930		64189	fra	medium	T0	unspecified	
Carr_Service	Carr, John Dickson	yes	1	M	USA		Service des affaires inclassables		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1802-3			1940		74987	fra	medium	T0	unspecified	
Cerignac_Moliere	de Cérignac, Dominique	no	1	F	FRA		On tue chez Molière	1995	1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2609-3					64412	fra	medium	T0	unspecified	
Cheron_Assassin	Chéron, Bertrand	no	1	M	FRA		L'assassin viendra à l'aube	1975	1975		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0364-6					33059	fra	short	T0	unspecified	
Cody_Tete	Cody, Liza	yes	1	F	GBR		Sans la tête		1998		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2861-4	Retaillaud, Julien				95522	fra	medium	T0	unspecified	
Cornwell_Postmortem	Cornwell, Patricia	yes	1	F	USA		Postmortem		1992		1990s	Le Masque		Romans d'aventures	policier	populaire	2-70-24-2255-1	Berton, Gilles				92431	fra	medium	T0	unspecified	
Coupon_Pluie	Coupon, Henry	no	1	M	FRA		La pluie et le beau temps	1977	1977		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0677-7					45859	fra	short	T0	unspecified	
Creasey_Sang	Creasey, John	yes	1	M	GBR		Du sang sur les rails	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						45409	fra	short	T0	unspecified	
Crispin_Prelude	Crispin, Edmund	yes	1	M	GBR		Prélude et mort d'Isolde		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1845-7	André, Jean / Rey, Claudine		1986		56482	fra	medium	T0	unspecified	
Culpan_Dauphin	Culpan, Maurice	yes	1	M	GBR		Au dauphin vert		1968		1960s	Le Masque		Romans d'aventures	policier	populaire						38181	fra	short	T0	unspecified	
Daly_Tome	Daly, Elizabeth	yes	1	F	USA		Le tome II a disparu		1964		1960s	Le Masque		Romans d'aventures	policier	populaire						26968	fra	short	T0	unspecified	
daNatividadeGaspar_Corps	da Natividade Gaspar, José	yes	1	M	PRT		Les corps sans âme		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1851-1	Falcoz, André & Maslowski, Igor B.				54690	fra	medium	T0	unspecified	
DeMonaghan_Trop	de Monaghan, Hélène	no	1	F	FRA		Trop chère Èmilie		1976		1970s	Le Masque		Romans d'aventures	policier	populaire						45658	fra	short	T0	unspecified	
Didelot_Ombres	Didelot, Francis	no	1	M	FRA		Les ombres du parking		1980		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1045-6					46080	fra	short	T0	unspecified	
Didier_Entree	Didier, Christiane	no	1	F			Entrée interdite		1971		1970s	Le Masque		Romans d'aventures	policier	populaire						42367	fra	short	T0	unspecified	
Durbridge_Signe	Durbridge, Francis	yes	1	M	GBR		Sous le signe du dollar		1968		1960s	Le Masque		Romans d'aventures	policier	populaire						40818	fra	short	T0	unspecified	
Endrebe_Pire	Endrèbe, Maurice Bernard	no	1	M	FRA		La pire des choses		1984		1980s	Le Masque		Roman d'aventures	policier	populaire	2-7024-1574-1					39791	fra	short	T0	unspecified	
Eustis_Homme	Eustis, Helen	yes	1	F	USA		L'homme horizontal		1997		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2743-X					85509	fra	medium	T0	unspecified	
Exbrayat_Pantoufles	Exbrayat, Charles	no	1	M	FRA		Mets tes pantoufles, Roméo		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1440-0					45741	fra	short	T0	unspecified	
Exbrayat_Petite	Exbrayat, Charles	no	1	M	FRA		Une Petite morte de rien du tout		1965		1960s	Le Masque		Romans d'aventures	policier	populaire						47091	fra	short	T0	unspecified	
Fair_Bousculez	Fair, A. A. (Erle Stanley Gardner)	yes	1	M	USA		Bousculez pas le magot		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1542-3	Benoit, Jean				69910	fra	medium	T0	unspecified	
Fair_Quitte	Fair, A. A. (Erle Stanley Gardner)	yes	1	M	USA		Quitte ou double		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1547-4	Benoit, Jean				70724	fra	medium	T0	unspecified	
Fast_Crime	Fast, Julius	yes	1	M	USA		Crime en blanc		1987		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1783-3	Averlant, Michel				45400	fra	short	T0	unspecified	
Ferriere_Climat	Ferrière, Jean-Pierre	no	1	M			Un climat mortel		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1488-5					34020	fra	short	T0	unspecified	
Ferval_Assassins	Ferval, Henri	no	1	M			Les assassins sont morts		1982		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1362-5					54130	fra	medium	T0	unspecified	
Fraser_Trefle	Fraser, James	yes	1	M	GBR		Le trèfle à cinq feuilles	1975	1975		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0440-5					45339	fra	short	T0	unspecified	
Freeman_Trio	Freeman, Austin	yes	1	M			Un trio tragique		1997		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2828-2					71165	fra	medium	T0	unspecified	
Gill_Coup	Gill, Josephine	yes	1	F			Coup de tonnerre		1960		1960s	Le Masque		Romans d'aventures	policier	populaire						51231	fra	medium	T0	unspecified	
Grisolia_Calories	Grisolia, Michel	no	1	M			650 calories pour mourir		1987		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1771-X					43269	fra	short	T0	unspecified	
Grisolia_Petite	Grisolia, Michel	no	1	M			La petite amie du crime		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2597-6					50394	fra	short	T0	unspecified	
Grisolia_Soeurs	Grisolia, Michel	no	1	M			Les sœurs du nord		1986		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1707-8					51319	fra	medium	T0	unspecified	
Guibert_Piano	Guibert, Michel	no	1	M			Piano nobile		1981		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1211-4					44550	fra	short	T0	unspecified	
GuillemonatBancal_Jamais	Guillemonat, Jean / Bancal, Jean	yes	1	M			Jamais à l'heure même pour mourir		1974		1970s	Le Masque		Romans d'aventures	policier	populaire		Tardieu, Charles				70167	fra	medium	T0	unspecified	
Halter_Mystere	Halter, Paul	no	1	M			Le Mystère de l'allée des Anges		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2963-7					70030	fra	medium	T0	unspecified	
Heyer_Pourquoi	Heyer, Georgette	yes	1	F			Pourquoi tuer un maître d'hôtel?		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2508-9					49418	fra	short	T0	unspecified	
Hill_Amour	Hill, Reginald	yes	1	M			Un amour d'enfant		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2161-X	Coisne, Gérard				105069	fra	long	T0	unspecified	
Hocking_Personne	Hocking, Anne	yes	1	F	GBR		Et personne ne pleura		1956		1950s	Le Masque		Romans d'aventures	policier	populaire		Vernay, Perrine				58676	fra	medium	T0	unspecified	
Hocking_Tout	Hocking, Anne	yes	1	F			Tout s'arrête à minuit		1960		1960s	Le Masque		Romans d'aventures	policier	populaire		Vernay, Perrine				59950	fra	medium	T0	unspecified	
Hunt_Etre	Hunt, Mary Vincent	yes	1	F			Être ou ne pas être		1962		1960s	Le Masque		Romans d'aventures	policier	populaire		Thies, Monique				45503	fra	short	T0	unspecified	
Janson_Or	Janson, Marten	yes	1	U	SWE		L'or du dragon	1976	1976		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0575-4					45134	fra	short	T0	unspecified	
Japp_Bostonienne	Japp, Andrea H.	no	1	F			La bostonienne		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2134-2					52776	fra	medium	T0	unspecified	
Japp_Chante	Japp, Andrea H.	no	1	F			Elle qui chante quand la mort vient		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2323-X					51380	fra	medium	T0	unspecified	
Japp_Femelle	Japp, Andrea H.	no	1	F			La femelle de l'espèce		1996		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2513-8					48075	fra	short	T0	unspecified	
Japp_Petite	Japp, Andrea Philip	no	1	F			La petite au chien jaune		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2418-X					45515	fra	short	T0	unspecified	
Jeffers_Irregulier	Jeffers, Paul	yes	1	M			Irrégulier, mon cher Morgan! (les fans de Sherlock Holmes)		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1651-9					46397	fra	short	T0	unspecified	
Johnston_Arbres	Johnston, Velda	yes	1	F			Les arbres de Josue		1973		1970s	Le Masque		Romans d'aventures	policier	populaire		Navarro, Marie-Louise		1972		47304	fra	short	T0	unspecified	
Kallen_Greenfield	Greenfield, Lucille	yes	1	F			Greenfield connaît la musique		1986		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1677-2	Poulain, Chrisitiane		1979		48082	fra	short	T0	unspecified	
Kassak_Peur	Kassak, Fred	no	1	M	FRA		Qui a peur d'Ed Garpo?		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2619-0					40980	fra	short	T0	unspecified	
Kerr_Chambres	Kerr, Philip	yes	1	M	GBR		Chambres froides		1994		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2436-0	Kiéfé, Laurence		1992		93430	fra	medium	T0	unspecified	
King_Femme	King, Rufus	yes	1	M	USA		La femme qui a tué		1950		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1480-X	Le Houbie, Michel				49451	fra	short	T0	unspecified	
KnightK_Clan	Knight, Kathleen Moore	yes	1	F	USA		Le clan robineau		1956	1956	1950s	Le Masque		Romans d'aventures	policier	populaire	(unknown)										
Lang_Nous	Lang, Maria	yes	1	F	SWE		Nous étions treize en classe		1976		1970s	Le Masque		Romans d'aventures	policier	populaire	2-7024-0573-8	Roussel, Asa		1973		45309	fra	short	T0	unspecified	
LaPlante_Suspect	La Plante, Lynda	yes	1	F	GBR		Suspect numéro un		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2624-7					88065	fra	medium	T0	unspecified	
Lawrence_Jeux	Lawrence, Hilda	yes	1	F			Jeux de mains		1994		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2464-3	Guilbot, Monique / Marquet, J.G.		1949		54656	fra	medium	T0	unspecified	
Lebeau_Algebre	Lebeau, Guillaume	no	1	M	FRA		L'Algèbre du besoin		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2936-X					82322	fra	medium	T0	unspecified	
Lemaire_Peur	Lemaire, Jean-Francois	no	1	M			Peur sur l'asile		1996		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2675-1					118061	fra	long	T0	unspecified	
LeMarrec_Abus	Le Marrec, Philippe	no	1	M			Tout abus sera puni		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2340-X					37563	fra	short	T0	unspecified	
Lewin_Cliente	Lewin, Michael Z.	yes	1	M	USA		Ma cliente Heloïse	1973	1973		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						35521	fra	short	T0	unspecified	
LockridgeR-LockridgeF_Garden-Party	Lockridge, Richard/Lockridge, Frances	yes	2	mixed			Garden-Party		1960	1960	1960s	Le Masque		Romans d'aventures	policier	populaire	(unknown)										
Long_Aucun	Long, Manning	yes	1	M			Aucun délai		1990		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2021-4	Grégoire, Catherine				50932	fra	medium	T0	unspecified	
Lovesey_Course	Lovesey, Peter	yes	1	M			La course ou la vie		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1646-2					34138	fra	short	T0	unspecified	
Lovesey_Round	Lovesey, Peter	yes	1	M			Le vingt-sixième round		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1633-0	Poulain, Christiane				46072	fra	short	T0	unspecified	
Marais_Joue	Marais, Claude	no	1	F	FRA		On ne joue pas avec le feu	1973	1973		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						39880	fra	short	T0	unspecified	
Martin_Acteurs	Martin, Hansjörg	yes	1	M	DEU		Les acteurs n'aiment pas mourir	1972	1972		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						44637	fra	short	T0	unspecified	
MaurionGilles_Blonde	Maurion-Gilles, Yves	no	1	M			La blonde lance la rousse		1967		1960s	Le Masque		Romans d'aventures	policier	populaire						42692	fra	short	T0	unspecified	
McDermid_Mauvais	McDermid, Val	yes	1	F			Mauvais signes		1998		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2879-7	Loubet, Pascal				92610	fra	medium	T0	unspecified	
Menard_Derniere	Ménard, Emmanuel	no	1	M			La dernière victime		1992		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2230-6					75168	fra	medium	T0	unspecified	
Millar_Femme	Millar, Margaret	yes	1	F			La femme de sa mort		1986		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1720-5					49918	fra	short	T0	unspecified	
Millar_Territoire	Millar, Margaret	yes	1	F			Le territoire des monstres		1972		1970s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1838-4					61318	fra	medium	T0	unspecified	
MillerW_Foire	Miller, Wade	yes	1	M			La foire aux crimes		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1578-4	Escoube, Lucienne				51307	fra	medium	T0	unspecified	
Moyes_Qui	Moyes, Patricia	yes	1	F			Qui a peur de Simon Warwick?		1986		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1733-7	André, Jean / Rey, Claudine		1978		53898	fra	medium	T0	unspecified	
Muller_Avec	Muller, Paul	yes	1	M	GBR		Avec les femmes on ne sait jamais	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						30100	fra	short	T0	unspecified	
Narcejac_Gout	Narcejac, Thomas	no	1	M			Le goût des larmes		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1590-3					55052	fra	medium	T0	unspecified	
Narcejac_Mauvais	Narcejac, Thomas	no	1	M			Le mauvais cheval		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1849-X					49531	fra	short	T0	unspecified	
Narcejac_Mort	Narcejac, Thomas	no	1	M			La mort est du voyage		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1470-2					50092	fra	medium	T0	unspecified	
Neely_Blanche	Neely, Barbara	yes	1	F			Blanche et les seigneurs		1997		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2769-3	Vuarnesson, Florence				85469	fra	medium	T0	unspecified	
Oelrichs_Mort	Oelrichs, Inès	yes	1	F	USA		Mort d'une sorcière blanche		1953		1950s	Le Masque		Romans d'aventures	policier	populaire		Amalric, Isabelle		1986		73194	fra	medium	T0	unspecified	
Palmer_Hollywood	Palmer, Stuart	yes	1	M			Hollywood sur meurtre		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1605-5	Amalric, Hélène				37786	fra	short	T0	unspecified	
Payes_Bon	Payes, Rachel C.	yes	1	F			Bon voyage, Tubby		1966		1960s	Le Masque		Romans d'aventures	policier	populaire		Dailly, Peggy				37483	fra	short	T0	unspecified	
Picard_Solo	Picard, Gilbert	no	1	M	FRA		Solo pour toumba	1975	1975		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0406-5					33822	fra	short	T0	unspecified	
Poslaniec_Fous	Poslaniec, Christian	no	1	M			Les fous de Scarron		1990		1990s	Le Masque		Roman d'aventures	policier	populaire	2-7024-2062-1					46101	fra	short	T0	unspecified	
Pourunjour_Voisins	Pourunjour, Caroline	no	1	F			Des voisins très inquiétants		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1543-1					45055	fra	short	T0	unspecified	
Quentin_Assassin	Quentin, Patrick	yes	1	M			L'assassin est à bord		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1648-9	M.D.M				60925	fra	medium	T0	unspecified	
Quentin_Meurtre	Quentin, Patrick	yes	1	M			Meurtre à l'université		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1518-0	Poulain, Christiane				54953	fra	medium	T0	unspecified	
Quentin_Mort	Quentin, Patrick	yes	1	M			La mort fait l'appel		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1874-0	Canavaggia, Marie				60272	fra	medium	T0	unspecified	
RadfordEM_Eau	Radford, Edwin / Radford, Mona Augusta	yes	1	X			L'eau morte		1972		1970s	Le Masque		Romans d'aventures	policier	populaire		Daubert, Firmin		1971		37163	fra	short	T0	unspecified	
Radley_Coups	Radley_Sheila	yes	1	F			À tous les coups l'on perd		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2184-9	Alamagny, Jean-Michel				79469	fra	medium	T0	unspecified	
Rendell_Fille	Rendell, Ruth	yes	1	F			Une fille dans un caveau		1986		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1703-5	Fillion, Jane				54570	fra	medium	T0	unspecified	
Rendell_Petit	Rendell, Ruth	yes	1	F			Le petit été de la Saint-Luke		1980		1980s	Le Masque		Romans d'aventures	policier	populaire		Navarro, Marie-Louise		1978		57882	fra	medium	T0	unspecified	
Rice_Malone	Rice, Craig	yes	1	M			Malone quitte Chicago		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1821-X	Averlant, Michel				61800	fra	medium	T0	unspecified	
Robertson_Drole	Robertson, Colin	yes	1	M	GBR		Drôle de cadavre		1958		1950s	Le Masque		Romans d'aventures	policier	populaire						49751	fra	short	T0	unspecified	
Robertson_Singe	Robertson, Colin	yes	1	M			Le singe bleu		1960		1960s	Le Masque		Romans d'aventures	policier	populaire		Vernay, Perrine				59099	fra	medium	T0	unspecified	
RossJ_Morte	Ross, Jonathan	yes	1	M			Une petite morte bien rangée		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1581-4	Satori, Jacques				46123	fra	short	T0	unspecified	
Roueche_Crime	Roueché, Berton	yes	1	M			Le crime ne fait pas le bonheur		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1458-3	Eichelberger, Michael				51613	fra	medium	T0	unspecified	
Rousseau_Tribunal	Rousseau, André	no	1	M	FRA		Tribunal de femmes	1973	1973		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						42080	fra	short	T0	unspecified	
Rutledge_Emily	Rutledge, Nancy	yes	1	F			Emily le saura!		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1567-9					72993	fra	medium	T0	unspecified	
Saint-Briac_Derniere	Saint Briac, André	no	1	U			La dernière épreuve	1976	1976		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0558-4					43554	fra	short	T0	unspecified	
